_id,image,brand,name,price,tier,chipset,socket,formFactor,memorySlots,memoryMaxGb
608dd537905ec60bdc069325,/images/motherboard/motherboard.jpg,Gigabyte,A520M S2H,58.99,8,A520,AM4,Micro ATX,2,64
608dd537905ec60bdc069326,/images/motherboard/motherboard.jpg,MSI,A520M PRO,72.05,8,A520,AM4,Micro ATX,2,64
608dd537905ec60bdc069327,/images/motherboard/motherboard.jpg,MSI,A520M-A PRO,70.02,8,A520,AM4,Micro ATX,2,64
608dd537905ec60bdc069328,/images/motherboard/motherboard.jpg,MSI,MAG A520M VECTOR WIFI,84.85,8,A520,AM4,Micro ATX,2,64
608dd537905ec60bdc069329,/images/motherboard/motherboard.jpg,ASRock,A520M-ITX/ac,102.90,8,A520,AM4,Mini ITX,2,64
608dd537905ec60bdc069330,/images/motherboard/motherboard.jpg,Gigabyte,A520I AC,107.90,8,A520,AM4,Mini ITX,2,64
608dd537905ec60bdc069331,/images/motherboard/motherboard.jpg,ASRock,B365M-ITX/ac,97.19,5,B365,LGA1151,Mini ITX,2,32
608dd537905ec60bdc069332,/images/motherboard/motherboard.jpg,ASRock,B460M-ITX/ac,119.87,7,B460,LGA1200,Mini ITX,2,64
608dd537905ec60bdc069333,/images/motherboard/motherboard.jpg,ASRock,B560M-ITX/ac,109.24,7,B560,LGA1200,Mini ITX,2,64
608dd537905ec60bdc069334,/images/motherboard/motherboard.jpg,ASRock,H470M-ITX/ac,171.73,7,H470,LGA1200,Mini ITX,2,64
608dd537905ec60bdc069335,/images/motherboard/motherboard.jpg,ASRock,H570M-ITX/ac,143.89,7,H570,LGA1200,Mini ITX,2,64
608dd537905ec60bdc069336,/images/motherboard/motherboard.jpg,MSI,MPG Z490 GAMING EDGE WIFI,208.00,5,Z490,LGA1200,ATX,4,128
608dd537905ec60bdc069337,/images/motherboard/motherboard.jpg,MSI,MPG Z490 GAMING PLUS,160.90,6,Z490,LGA1200,ATX,4,128
608dd537905ec60bdc069338,/images/motherboard/motherboard.jpg,MSI,MPG Z590 GAMING CARBON WIFI,320.94,3,Z590,LGA1200,ATX,4,128
