_id,image,brand,name,price,socket,cores,smt,igpu,tdp,stPerformance,mtPerformance,coreClock,boostClock
608dd3c5905ec60bdc069882,/images/cpu/intel-core-i9-10.jpg,Intel,Core i9-10900K,2251.80,LGA1200,10,TRUE,TRUE,125,1397,10859,3.7,5.3
608dd3c5905ec60bdc069883,/images/cpu/intel-core-i9-10.jpg,Intel,Core i9-10900KF,1997.40,LGA1200,10,TRUE,FALSE,125,1376,10770,3.7,5.3
608dd3c5905ec60bdc069884,/images/cpu/intel-core-i9-10x.jpg,Intel,Core i9-10900X,2624.30,LGA2066,10,TRUE,FALSE,165,1159,10592,3.7,4.7
608dd3c5905ec60bdc069885,/images/cpu/intel-core-i9-10x.jpg,Intel,Core i9-10920X,2917.23,LGA2066,12,TRUE,FALSE,165,1209,12763,3.5,4.8
608dd3c5905ec60bdc069886,/images/cpu/intel-core-i9-10x.jpg,Intel,Core i9-10940X,3350.39,LGA2066,14,TRUE,FALSE,165,1155,13213,3.3,4.8
608dd3c5905ec60bdc069887,/images/cpu/intel-core-i9-10e.jpg,Intel,Core i9-10980XE,4458.04,LGA2066,18,TRUE,FALSE,165,1167,16039,3,4.8
608dd3c5905ec60bdc069888,/images/cpu/intel-core-i9-11.jpg,Intel,Core i9-11900,2074.12,LGA1200,8,TRUE,TRUE,65,1714,8530,2.5,5.2
608dd3c5905ec60bdc069889,/images/cpu/intel-core-i9-11.jpg,Intel,Core i9-11900F,2035.17,LGA1200,8,TRUE,FALSE,65,1725,9204,2.5,5.2
608dd3c5905ec60bdc069890,/images/cpu/intel-core-i9-11.jpg,Intel,Core i9-11900K,2988.85,LGA1200,8,TRUE,TRUE,125,1757,10172,3.5,5.3
608dd3c5905ec60bdc069891,/images/cpu/intel-core-i9-9.jpg,Intel,Core i9-9900,1365.09,LGA1151,8,TRUE,TRUE,65,1249,7664,3.1,5
608dd3c5905ec60bdc069892,/images/cpu/intel-core-i9-9.jpg,Intel,Core i9-9900K,1596.60,LGA1151,8,TRUE,TRUE,95,1316,8602,3.6,5
608dd3c5905ec60bdc069893,/images/cpu/intel-core-i9-9.jpg,Intel,Core i9-9900KF,1319.50,LGA1151,8,TRUE,FALSE,95,1325,8670,3.6,5
608dd3c5905ec60bdc069894,/images/cpu/intel-pentium-gold-g6.jpg,Intel,Pentium Gold G6400,326.87,LGA1200,2,TRUE,TRUE,58,1033,2269,4,4
608dd3c5905ec60bdc069895,/images/cpu/intel-pentium-gold-g6.jpg,Intel,Pentium Gold G6500,414.51,LGA1200,2,TRUE,TRUE,58,1082,2303,4.1,
608dd3c5905ec60bdc069896,/images/cpu/intel-pentium-gold-g6.jpg,Intel,Pentium Gold G6600,464.56,LGA1200,2,TRUE,TRUE,58,1089,2283,4.2,
