_id,image,brand,name,price,capacityGb,tier,type,formFactor,connectionInterface
608dd615905ec60bdc06a454,/images/storage/31naAKlnBZL.jpg,Samsung,860 QVO,491.63,1000,5,SSD,"2.5""",SATA 6 Gb/s
608dd615905ec60bdc06a455,/images/storage/31naAKlnBZL.jpg,Samsung,860 QVO,1362.32,2000,5,SSD,"2.5""",SATA 6 Gb/s
608dd615905ec60bdc06a456,/images/storage/2c576ecaedba7428ac231ac4f1e12a4d.256p.jpg,Samsung,870 Evo,295.30,500,5,SSD,"2.5""",SATA 6 Gb/s
608dd615905ec60bdc06a457,/images/storage/2c576ecaedba7428ac231ac4f1e12a4d.256p.jpg,Samsung,870 Evo,509.55,1000,5,SSD,"2.5""",SATA 6 Gb/s
608dd615905ec60bdc06a458,/images/storage/2c576ecaedba7428ac231ac4f1e12a4d.256p.jpg,Samsung,870 Evo,948.54,2000,5,SSD,"2.5""",SATA 6 Gb/s
608dd615905ec60bdc06a459,/images/storage/2c576ecaedba7428ac231ac4f1e12a4d.256p.jpg,Samsung,870 Evo,1813.04,4000,5,SSD,"2.5""",SATA 6 Gb/s
608dd615905ec60bdc06a460,/images/storage/29b838814626cac9b060a2d2c0a293cd.256p.jpg,Samsung,870 QVO,3148.55,8000,5,SSD,"2.5""",SATA 6 Gb/s
608dd615905ec60bdc06a461,/images/storage/09a31f32abb3daaf5ed9b849bd60e675.256p.jpg,Samsung,970 Evo,359.54,500,2,NVMe,M.2-2280,M.2 (M)
608dd615905ec60bdc06a462,/images/storage/09a31f32abb3daaf5ed9b849bd60e675.256p.jpg,Samsung,970 Evo,596.14,1000,2,NVMe,M.2-2280,M.2 (M)
608dd615905ec60bdc06a463,/images/storage/09a31f32abb3daaf5ed9b849bd60e675.256p.jpg,Samsung,970 Evo,2727.22,2000,2,NVMe,M.2-2280,M.2 (M)
608dd615905ec60bdc06a464,/images/storage/25a1bf52562913032cce0b7a71b9e323.256p.jpg,Samsung,970 Evo Plus,368.32,500,2,NVMe,M.2-2280,M.2 (M)
608dd615905ec60bdc06a465,/images/storage/25a1bf52562913032cce0b7a71b9e323.256p.jpg,Samsung,970 Evo Plus,682.45,1000,2,NVMe,M.2-2280,M.2 (M)
608dd615905ec60bdc06a466,/images/storage/25a1bf52562913032cce0b7a71b9e323.256p.jpg,Samsung,970 EVO Plus,1360.54,2000,2,NVMe,M.2-2280,M.2 (M)
608dd615905ec60bdc06a467,/images/storage/f5fbcbb3afcdfe42608154abf2f9de71.256p.jpg,Samsung,970 Pro,629.67,512,1,NVMe,M.2-2280,M.2 (M)
608dd615905ec60bdc06a468,/images/storage/f5fbcbb3afcdfe42608154abf2f9de71.256p.jpg,Samsung,970 Pro,1046.45,1000,1,NVMe,M.2-2280,M.2 (M)
608dd615905ec60bdc06a469,/images/storage/31bfYG-nSGL.jpg,Samsung,980 Pro,559.65,500,1,NVMe,M.2-2280,M.2 (M)
608dd615905ec60bdc06a470,/images/storage/31bfYG-nSGL.jpg,Samsung,980 Pro,877.65,1000,1,NVMe,M.2-2280,M.2 (M)
608dd615905ec60bdc06a471,/images/storage/no-image.png,Samsung,Spinpoint F1 EG,659.48,1000,8,5400RPM,"3.5""",SATA 3 Gb/s
608dd615905ec60bdc06a472,/images/storage/no-image.png,Samsung,Spinpoint F1 RAID,964.60,1000,8,7200RPM,"3.5""",SATA 3 Gb/s
608dd615905ec60bdc06a473,/images/storage/no-image.png,Samsung,Spinpoint F2 EG,363.55,1000,8,5400RPM,"3.5""",SATA 3 Gb/s
