_id,image,brand,name,price,speed,modulesCount,moduleCapacityGb,firstWordLatencyNs,casLatency
608dd5ff905ec60bdc06a259,/images/ram/51kplclKwXL.jpg,Patriot,Viper 4 Blackout 8 GB,258.67,3200,2,4,11.875,19
608dd5ff905ec60bdc06a260,/images/ram/5bbbb34eeb0fbebec0229d1ebe460da1.256p.jpg,Team,T-FORCE VULCAN Z 8 GB,257.03,2666,1,8,13.503,18
608dd5ff905ec60bdc06a261,/images/ram/51cBkTWa69L.jpg,Patriot,Viper Elite 8 GB,256.98,2666,2,4,12.003,16
608dd5ff905ec60bdc06a262,/images/ram/0dd3b257339a980fc01108f6254463f6.256p.jpg,Kingston,KSM26RS8/8MEI 8 GB,255.07,2666,1,8,14.254,19
608dd5ff905ec60bdc06a263,/images/ram/4d30e0097348732f627eaf3357e218a5.256p.jpg,Corsair,Vengeance LED 64 GB,2537.94,3000,4,16,10.667,16
608dd5ff905ec60bdc06a264,/images/ram/371544d55eba2a6c99d0a22532742694.256p.jpg,G.Skill,Ripjaws V Series 32 GB,2526.80,3333,2,16,9.601,16
608dd5ff905ec60bdc06a265,/images/ram/46cebfcd72b0ddaea3f481aca0e935b7.256p.jpg,Corsair,Vengeance RGB Pro 64 GB,2514.92,4000,2,32,9,18
608dd5ff905ec60bdc06a266,/images/ram/f02f872bfbeae09eefa0a32c38abd360.256p.jpg,Patriot,Viper Steel 8 GB,254.44,3200,1,8,10,16
608dd5ff905ec60bdc06a267,/images/ram/cac1c6df163591d12ac37a49b410a988.256p.jpg,Kingston,HyperX Predator RGB 8 GB,249.80,3200,1,8,10,16
608dd5ff905ec60bdc06a268,/images/ram/c524fb85f4cdf3f958e8b5d14614e35c.256p.jpg,Corsair,Dominator Platinum RGB 64 GB,2441.03,3466,4,16,9.233,16
608dd5ff905ec60bdc06a269,/images/ram/c524fb85f4cdf3f958e8b5d14614e35c.256p.jpg,Corsair,Dominator Platinum RGB 64 GB,2434.20,3000,4,16,10,15
608dd5ff905ec60bdc06a270,/images/ram/815edb77bd605546d5b8fc10e94b11f8.256p.jpg,Kingston,KTH-PL426S8/8G 8 GB,242.97,2666,1,8,14.254,19
608dd5ff905ec60bdc06a271,/images/ram/f0faf663c40134c27ced9f989f4438b3.256p.jpg,Kingston,ValueRAM 8 GB,242.42,2933,1,8,14.32,21
608dd5ff905ec60bdc06a272,/images/ram/51kbGoC9fWL.jpg,G.Skill,Aegis 8 GB,242.42,3200,1,8,10,16
608dd5ff905ec60bdc06a273,/images/ram/5bbbb34eeb0fbebec0229d1ebe460da1.256p.jpg,Team,T-FORCE VULCAN Z 8 GB,241.38,3600,1,8,10,18
608dd5ff905ec60bdc06a274,/images/ram/46cebfcd72b0ddaea3f481aca0e935b7.256p.jpg,Corsair,Vengeance RGB Pro 64 GB,2409.36,3466,4,16,9.233,16
608dd5ff905ec60bdc06a275,/images/ram/45cf55b4909200ebcac34b86cf2b9874.256p.jpg,Corsair,Vengeance LPX 64 GB,2400.08,3600,4,16,10,18
608dd5ff905ec60bdc06a276,/images/ram/7083d18ca85c77a8b08846e3c56dd015.256p.jpg,Corsair,Vengeance LED 32 GB,2385.52,3200,2,16,10,16
608dd5ff905ec60bdc06a277,/images/ram/no-image.png,ADATA,XPG GAMMIX D10 8 GB,240.97,3000,1,8,10.667,16
608dd5ff905ec60bdc06a278,/images/ram/41AGvSmY-fL.jpg,Corsair,Vengeance LPX 8 GB,240.70,2666,2,4,11.253,15
608dd5ff905ec60bdc06a279,/images/ram/371544d55eba2a6c99d0a22532742694.256p.jpg,G.Skill,Ripjaws V Series 32 GB,2350.03,3466,4,8,9.233,16
608dd5ff905ec60bdc06a280,/images/ram/41AGvSmY-fL.jpg,Corsair,Vengeance LPX 8 GB,236.55,3200,1,8,10,16
608dd5ff905ec60bdc06a281,/images/ram/5bbbb34eeb0fbebec0229d1ebe460da1.256p.jpg,Team,T-FORCE VULCAN Z 8 GB,235.87,3200,1,8,10,16
608dd5ff905ec60bdc06a282,/images/ram/no-image.png,ADATA,XPG GAMMIX D10 8 GB,234.42,2666,1,8,12.003,16
608dd5ff905ec60bdc06a283,/images/ram/f02f872bfbeae09eefa0a32c38abd360.256p.jpg,Patriot,Viper Steel 8 GB,233.64,3200,2,4,10,16
608dd5ff905ec60bdc06a284,/images/ram/51kbGoC9fWL.jpg,G.Skill,Aegis 8 GB,233.32,2666,1,8,14.254,19
