_id,image,brand,name,price,tier,chipset,socket,formFactor,memorySlots,memoryMaxGb
608dd537905ec60bdc069221,/images/motherboard/51XBECtWSZL.jpg,MSI,B450I GAMING PLUS MAX WIFI,555.03,5.3,B450,AM4,Mini ITX,2,64
608dd537905ec60bdc069222,/images/motherboard/b87a02aff9c829a85f7b69afcee965ac.256p.jpg,MSI,B450M GAMING PLUS,363.87,5.3,B450,AM4,Micro ATX,2,32
608dd537905ec60bdc069223,/images/motherboard/68b40827111b02c13d0ca63b0bd87b60.256p.jpg,MSI,MPG X570 GAMING EDGE WIFI,805.5,5.7,X570,AM4,ATX,4,128
608dd537905ec60bdc069224,/images/motherboard/68b40827111b02c13d0ca63b0bd87b60.256p.jpg,MSI,MPG X570 GAMING PLUS,692.55,6,X570,AM4,ATX,4,128
608dd537905ec60bdc069225,/images/motherboard/c5f7ee28c940f48c5076de03dc4f4a3e.256p.jpg,MSI,X570-A PRO,647.46,6,X570,AM4,ATX,4,128
608dd537905ec60bdc069226,/images/motherboard/4d3f257e7a9dc497dbf242951781e0cc.256p.jpg,ASRock,Fatal1ty X470 Gaming K4,784.31,6,X470,AM4,ATX,4,64
608dd537905ec60bdc069227,/images/motherboard/ef3bb3a555853be572250ab38362e1fd.256p.jpg,ASRock,X470 Master SLI,633.56,6,X470,AM4,ATX,4,64
608dd537905ec60bdc069228,/images/motherboard/b9c0d7468cf651f2551a9b88e9867871.256p.jpg,ASRock,Fatal1ty X470 Gaming-ITX/ac,1323.32,6,X470,AM4,Mini ITX,2,32
608dd537905ec60bdc069229,/images/motherboard/6af31fac978e4ad06f77903b4422f47d.256p.jpg,ASRock,B450 Pro4,373.59,6,B450,AM4,ATX,4,64
608dd537905ec60bdc069230,/images/motherboard/51ZFaAVMRfL.jpg,ASRock,B450 Steel Legend,427.05,6,B450,AM4,ATX,4,64
608dd537905ec60bdc069231,/images/motherboard/8f8baff091bfd5ef531c7ddb1a602ca4.256p.jpg,ASRock,B450M PRO4,316.35,6,B450,AM4,Micro ATX,4,64
608dd537905ec60bdc069232,/images/motherboard/4f1f39b57058fb142da06a72b4a6942b.256p.jpg,ASRock,B450M Pro4-F,337.59,6,B450,AM4,Micro ATX,4,64
608dd537905ec60bdc069233,/images/motherboard/f800207bd6c5444921c2267c0479b821.256p.jpg,ASRock,B450M Steel Legend,365.76,6,B450,AM4,Micro ATX,4,64
608dd537905ec60bdc069234,/images/motherboard/dbfb02d6b58c68e437bd56d7426600eb.256p.jpg,ASRock,Fatal1ty B450 GAMING K4,399.51,6,B450,AM4,ATX,4,64
608dd537905ec60bdc069235,/images/motherboard/7f9f592447b8f0ca453780f12ee90143.256p.jpg,ASRock,Fatal1ty B450 Gaming-ITX/ac,498.96,6,B450,AM4,Mini ITX,2,64
608dd537905ec60bdc069236,/images/motherboard/584a5f1af581d01cbe14fed6164c03c3.256p.jpg,Asus,ROG STRIX B450-E GAMING,1000.53,6,B450,AM4,ATX,4,64
608dd537905ec60bdc069237,/images/motherboard/584a5f1af581d01cbe14fed6164c03c3.256p.jpg,Asus,ROG STRIX B450-F GAMING II,509.36,6,B450,AM4,ATX,4,128
608dd537905ec60bdc069238,/images/motherboard/aebabc14761abc7b8d7c75e47871290d.256p.jpg,Asus,TUF GAMING B450-PLUS II,459,6,B450,AM4,ATX,4,128
608dd537905ec60bdc069239,/images/motherboard/41JI2lPIFiL.jpg,Asus,TUF GAMING B450M-PRO S,620.73,6,B450,AM4,Micro ATX,4,128
608dd537905ec60bdc069240,/images/motherboard/3f03c851fd04586ac9d00d4a153d4980.256p.jpg,MSI,B450M PRO-VDH MAX,337.41,6,B450,AM4,Micro ATX,4,64
608dd537905ec60bdc069241,/images/motherboard/2d6aec01983abcfd48c2d450cc27ce1b.256p.jpg,Asus,PRIME B450-PLUS,372.6,7,B450,AM4,ATX,4,64
608dd537905ec60bdc069242,/images/motherboard/584a5f1af581d01cbe14fed6164c03c3.256p.jpg,Asus,ROG STRIX B450-F GAMING,493.61,7,B450,AM4,ATX,4,64
608dd537905ec60bdc069243,/images/motherboard/668bf1bbaa0fa3547782eb126a0f37d8.256p.jpg,Asus,TUF B450-PLUS GAMING,465.48,7,B450,AM4,ATX,4,64
608dd537905ec60bdc069244,/images/motherboard/62dfa5a99f75d0bae639163baac74e0e.256p.jpg,Asus,TUF B450M-PLUS GAMING,418.46,7,B450,AM4,Micro ATX,4,64
608dd537905ec60bdc069245,/images/motherboard/57bebf1d8a60ecd2f578b999810ac8d3.256p.jpg,Gigabyte,B450 AORUS ELITE,402.3,7,B450,AM4,ATX,4,64
608dd537905ec60bdc069246,/images/motherboard/57bebf1d8a60ecd2f578b999810ac8d3.256p.jpg,Gigabyte,B450 AORUS ELITE V2,431.87,7,B450,AM4,ATX,4,128
608dd537905ec60bdc069247,/images/motherboard/57bebf1d8a60ecd2f578b999810ac8d3.256p.jpg,Gigabyte,B450 AORUS M,314.78,7,B450,AM4,Micro ATX,4,64
608dd537905ec60bdc069248,/images/motherboard/510LQKVvODL.jpg,Gigabyte,B450 AORUS PRO,407.39,7,B450,AM4,ATX,4,64
